ID,Código,Cliente,Agência,Inserções,Entrou?,Data_Início,Saiu?,Data_Fim
1,70,A Movelar,Débora,56,Não,,Não,
2,32,Afagu,Débora,84,Não,,Não,
3,86,Alcântara Peças,Ednaldo,42,Não,,Não,
4,88,Amargo e Vitamel,Laetson,196,Não,,Não,
5,28,Amiga do Aposentado,Laetson,84,Não,,Sim,14/08/2025
6,7,Atacadão,Débora,112,Não,,Não,
7,84 e 84A,Audio Center,Débora,182,Não,,Não,
8,9,Baterias Moura,Bitury FM,246,Não,,Não,
9,5,BrucoMAX,Laetson,104,Não,,Não,
10,4,Caruaru da Sorte,Bitury FM,84,Não,,Não,
11,49,Casa do Celular,Débora,84,Não,,Não,
12,94,Churrascaria Asa Branca,Laetson,122,Não,,Não,
13,66,Clínica da Paixão,Laetson,70,Não,,Não,
14,22,Construtora DCM,Débora,168,Não,,Não,
15,2,Costa Filho,Laetson,93,Não,,Não,
16,6,Dra. Daniela Lucena,Laetson,48,Não,,Não,
17,34,Dr. Arthur Bandim,Débora,96,Não,,Não,
18,55,Farmácia Cavalcante,Bitury FM,91,Não,,Não,
19,8,Farmácia Torres,Débora,65,Não,,Não,
20,700,Ferreira Construções,Débora,84,Não,,Não,
21,26,Frango Favorito,Bitury FM,85,Não,,Não,
22,3,Funerária Padre Cícero,Débora,56,Não,,Não,
23,18,Hotel Lacazzona,Laetson,96,Não,,Não,
24,13,Irmãos Valença,Bitury FM,93,Não,,Não,
25,10A,Madeireira Coelho,Laetson,172,Não,,Não,
26,30,Mercado Melhor Preço,Débora,99,Não,,Não,
27,92,Mercado Vitória,Débora,82,Não,,Não,
28,54,Novo Atacarejo,Igon,372,Não,,Não,
29,108,Ótica Seven,Bitury FM,56,Não,,Não,
30,42,Ótica Visão,Igon,70,Não,,Não,
31,17,Pitú,Bitury FM,127,Não,,Não,
32,87,Pomada Arrelique,Laetson,280,Não,,Não,
33,19,Pomada Divina,Laetson,92,Não,,Não,
34,68,Qualitec Tacógrafos,Débora,84,Não,,Não,
35,45,Residencial Maria Júlia,Igon,70,Não,,Não,
36,600,RR. Calçados,Ednaldo,70,Não,,Não,
37,"75, 74A, 74B, 74C, 74D",Silvana Galvão,Bitury FM,47,Não,,Não,
38,27,Teleinfor,Débora,93,Não,,Não,